"toTokenAddress","chainName"
"0x1d29bc8148849a42e725d2d560ea1cc80071368c",base-mainnet
"0xec3d2537a03fc4d790aa1fc66fa7dfadc6b245fb",base-mainnet
"0x2b84c91230b216b5dc5c9f9d77e75fe609f08210",base-mainnet
"0x24da41bae4d7014ec6faf5403d2db0aa1510358d",base-mainnet
"0x22af33fe49fd1fa80c7149773dde5890d3c76f3b",base-mainnet
"0x5a34646b860485f012435e2486edb375615d1c7b",base-mainnet
"0x43c5034469bce262d32f64c5e7f9f359f5b1495f",ethereum-mainnet
"0xc0ada956d1800adfabaabea6c7827f62ef47da24",base-mainnet
"0x44551ca46fa5592bb572e20043f7c3d54c85cad7",base-mainnet
"0x04c0fc525f0057035d23ee648ad95955cf73f1ab",base-mainnet
"0x2e2cc4dfce60257f091980631e75f5c436b71c87",base-mainnet
